1968	Zemøelí muži podle podrobného seznamu pøíèin smrti a vìku - úrazy a otravy podle vnìjší pøíèiny																							
MKN (1966)	Název	Celkem	0	1	2	3	4	5-9	10-14	15-19	20-24	25-29	30-34	35-39	40-44	45-49	50-54	55-59	60-64	65-69	70-74	75-79	80-84	85+
E841	Jiná nebo NS nehoda motorového letadla	10	-	-	-	-	-	-	-	-	2	1	-	1	2	2	1	1	-	-	-	-	-	-
E842	Nehoda letadla bez motoru	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E843	Pád v letadle, na letadle  nebo z letadla	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E844	Jiný blíže psaný úraz pøi dopravì vzduchem	1	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-
E845	Nehoda kosmické lodi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E846	Úraz pøi dopravì vzduchem ne prostorem NS	2	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	-	-	-	-
																								
	Náhodné otravy léky a drogami	8	-	-	1	-	-	-	-	-	3	-	-	1	-	2	-	-	-	-	1	-	-	-
E850	Antibiotiky a jinými prostøedky proti infekcím	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E851	Hormony a jejich syntetickými náhradami	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E852	Látkami primárnì pùsobícími na celý organismus a složky krve	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E853	Analgetiky a antipyretiky	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E854	Sedativy a hypnotiky	2	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	1	-	-	-
E855	Léky pùsobícími primárnì na nervovou soustavu a psychofarmaky	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E856	Jinými ataraktiky a stimulaci CNS	1	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-
E857	Látkami pùsobícími na ústrojí obìhu krevního	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E858	Léky pùsobícími na ústrojí trávicí	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E859	Náhodné otravy jinými léèivy	5	-	-	1	-	-	-	-	-	1	-	-	1	-	2	-	-	-	-	-	-	-	-
																								
	Náhodné otravy jinými pevnými nebo tekutými látkami	67	-	-	-	1	2	2	2	2	8	7	3	5	7	8	4	6	5	2	-	2	-	1
E860	Alkohol	38	-	-	-	-	-	-	-	1	6	6	3	4	5	5	-	1	5	1	-	1	-	-
E861	Èisticí a lešticí prostøedky	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1
E862	Dezinfekèní  prostøedky	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E863	Barvy atd.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E864	Výrobky z ropy a  jiná rozpustidla 	3	-	-	-	-	-	-	-	1	-	1	-	-	-	1	-	-	-	-	-	-	-	-
E865	Pesticidy, umìlá hnojiva, prostøedky pro výživu rostlin	1	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-
E866	Tìžké kovy a jejich páry	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E867	Žíravé a leptavé látky nezaøaditelné jinam	6	-	-	-	-	-	-	-	-	1	-	-	1	-	1	2	1	-	-	-	-	-	-
E868	Škodlivé potraviny a jedovaté rostliny	10	-	-	-	1	1	2	2	-	-	-	-	-	-	-	1	1	-	1	-	1	-	-
E869	Jiné a NS látky pevné a tekuté	8	-	-	-	-	1	-	-	-	1	-	-	-	1	1	1	3	-	-	-	-	-	-
																								
	Náhodné otravy plyny a parami	256	2	1	2	1	1	1	4	11	16	14	12	10	10	20	12	18	23	21	27	31	12	7
E870	Plyn rozvádìný potrubím	210	1	-	2	-	-	1	1	9	12	11	10	6	6	15	10	15	19	20	26	28	11	7
E871	Zkapalnìný plyn z ropy rozvážený v pøenosných nádobách	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E872	Jiný užitkový plyn	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E873	Výfukový plyn motorových vozidel	12	-	-	-	-	-	-	-	-	3	1	-	2	2	3	1	-	-	-	-	-	-	-
E874	Kyslièník uhelnatý z neúplného spalování domácích paliv	27	1	1	-	1	-	-	1	1	1	2	1	2	2	2	-	3	3	1	1	3	1	-
E875	Kyslièník uhelnatý vzniklý jiným zpùsobem	5	-	-	-	-	1	-	-	1	-	-	1	-	-	-	1	-	1	-	-	-	-	-
E876	Jiné plyny a páry	2	-	-	-	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E877	Plyny a páry NS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																								
	Náhodné pády	676	4	1	-	1	-	9	6	9	30	12	15	13	20	13	21	49	56	54	76	101	105	81
E880	Pád na schodech nebo se schodù nebo stupòù	52	-	-	-	-	-	-	-	2	2	2	1	3	2	2	2	7	5	5	8	4	6	1
E881	Pád na žebøíku nebo se žebøíku nebo lešení	26	-	-	-	-	-	-	-	-	1	-	3	2	1	1	-	5	3	2	4	3	-	1
E882	Pád z budovy nebo jiné stavby	52	-	-	-	1	-	3	2	-	11	3	4	2	4	-	4	4	6	3	1	3	1	-
E883	Pád do jámy nebo jiného otvoru v pùdì	20	-	-	-	-	-	-	1	3	5	-	1	3	-	-	1	1	2	1	-	1	1	-
E884	Jiný pád s jedné úrovnì na jinou	116	3	1	-	-	-	3	2	4	8	3	4	2	9	7	8	15	15	8	10	7	5	2
E885	Pád na rovinì následkem uklouznutí, zakopnutí nebo klopýtnutí	261	-	-	-	-	-	1	-	-	1	1	1	1	2	2	3	9	16	20	29	61	59	55
E886	Pád na rovinì následkem srážky s jinou osobou	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	1
E887	Jiný pád na rovinì a pád NS	147	1	-	-	-	-	2	1	-	2	3	1	-	2	1	3	8	9	15	23	22	33	21
																								
	Úrazy zpùsobené ohnìm	60	1	-	3	2	1	-	4	3	1	1	4	1	1	3	3	5	4	5	8	2	4	4
E890	Požár v obytném domì	11	-	-	-	1	-	-	-	2	-	-	1	-	-	1	-	-	-	1	4	1	-	-
E891	Požár v jiné budovì nebo stavbì	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-
E892	Požár mimo budovy a stavby	4	-	-	-	-	-	-	3	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-
E893	Vznícení odìvu	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-
E894	Vznícení vysoce vznìtlivých hmot	8	-	-	-	-	-	-	-	-	1	1	1	-	-	-	1	2	-	1	1	-	-	-
E895	Kontrolovaný oheò v obytném domì	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	2	1
E896	Kontrolovaný oheò v jiné budovì nebo stavbì	1	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E897	Kontrolovaný oheò mimo budovy a stavby	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	1	-	-	-
E898	Jiné blíže popsané ohnì 	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	1	-	1
E899	Oheò NS 	24	1	-	2	1	1	-	1	1	-	-	2	1	1	2	1	1	2	1	2	-	2	2
																								
	Úrazy zpùsobené pøírodními vlivy nebo vlivy životního prostøedí	55	-	1	-	-	-	-	1	5	5	-	1	2	5	5	2	8	11	5	1	1	1	1
E900	Úèinky horka	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E901	Úèinky chladu	26	-	-	-	-	-	-	-	1	2	-	-	-	4	4	1	5	6	2	-	1	-	-
E902	Úèinky tlaku vzduchu 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E903	Úèinky pohybu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E904	Úèinky hladu, žíznì, jiného strádání a nedostatku péèe	1	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E905	Kousnutí nebo bodnutí jedovatými  zvíøaty nebo hmyzem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E906	Jiné úrazy zpùsobené zvíøaty	10	-	-	-	-	-	-	-	-	-	-	1	1	1	-	-	-	3	2	1	-	1	-
E907	Blesk	7	-	-	-	-	-	-	1	-	1	-	-	-	-	1	1	1	2	-	-	-	-	-
E908	Pøírodní katastrofa	5	-	-	-	-	-	-	-	4	1	-	-	-	-	-	-	-	-	-	-	-	-	-
E909	Jiné	6	-	-	-	-	-	-	-	-	1	-	-	1	-	-	-	2	-	1	-	-	-	1
																								
	Jiné úrazy	712	36	13	8	10	12	35	32	59	84	47	40	45	40	34	44	55	48	31	17	12	7	3
E910	Tonutí a utonutí	234	-	8	6	7	6	25	14	27	28	13	7	9	11	10	4	17	13	14	9	2	3	1
E911	Dušení vdechnutím nebo polknutím potravy	45	21	-	1	-	1	-	-	-	-	-	-	-	1	2	2	6	4	2	2	3	-	-
E912	Dušení vdechnutím nebo polknutím jiného pøedmìtu	8	3	1	-	-	-	-	1	-	-	-	-	-	-	-	-	-	2	1	-	-	-	-
E913	Náhodné mechanické zadušení	20	10	2	-	-	1	2	-	-	1	-	-	1	1	-	-	-	1	1	-	-	-	-
E914	Vniknutí cizího tìlesa do oka nebo jeho adnex	1	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E915	Vniknutí cizího tìlesa do jiného otvoru tìla	2	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1	-	-	-	-	-	-	-
E916	Udeøení padajícím pøedmìtem	129	-	-	-	2	2	3	3	8	19	12	12	17	12	7	10	13	6	2	1	-	-	-
E917	Náraz na pøedmìt nebo udeøení pøedmìtem 	16	-	-	-	-	-	1	-	2	-	-	2	2	1	1	2	2	2	1	-	-	-	-
E918	Zachycení v pøedmìtech nebo mezi nimi	10	-	-	-	-	-	1	-	1	2	-	-	1	-	-	3	-	1	-	-	-	1	-
E919	Pøepìtí, namožení	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-
E920	Zranìní  øeznými nebo bodnými nástroji	11	-	-	-	-	-	-	-	-	2	2	1	1	1	-	-	1	3	-	-	-	-	-
E921	Výbuchy tlakových nádob	13	-	-	-	-	-	-	-	1	3	3	3	1	1	-	1	-	-	-	-	-	-	-
E922	Støelné zbranì 	24	-	-	-	-	-	2	3	8	6	-	1	-	-	1	1	1	1	-	-	-	-	-
E923	Výbušný materiál	17	-	-	-	-	-	1	4	2	1	-	-	2	-	1	5	1	-	-	-	-	-	-
E924	Horké látky, leptavé tekutiny, páry	11	-	1	-	-	1	-	-	1	1	-	1	-	-	-	1	1	2	-	-	1	-	1
E925	Elektrický proud	74	-	1	-	-	-	-	4	6	17	13	8	7	4	5	5	3	1	-	-	-	-	-
E926	Záøení	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E927	Úrazy zpùsobené vozidly a nezaøaditelné jinam	3	-	-	-	-	-	-	-	2	-	-	-	-	-	-	1	-	-	-	-	-	-	-
E928	Úrazy zpùsobené stroji a nezaøaditelné jinam	15	-	-	-	1	-	-	-	-	-	1	2	-	-	2	1	4	2	2	-	-	-	-
E929	Úrazy jiné a NS	78	2	-	1	-	1	-	2	1	4	3	3	4	7	5	7	6	10	7	5	6	3	1
																								
	Léèebné komplikace a nehody	2	-	-	-	-	-	-	-	-	-	1	-	-	1	-	-	-	-	-	-	-	-	-
E930	Komplikace a nehody pøi operaèních léèebných výkonech	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E931	Komplikace a nehody pøi jiných a NS léèebných výkonech	2	-	-	-	-	-	-	-	-	-	1	-	-	1	-	-	-	-	-	-	-	-	-
E932	Komplikace a nehody pøi diagnostických výkonech	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E933	Nehody pøi oèkování proti bakteriálním nemocem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E934	Nehody pøi oèkování proti jiným nemocem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E935	Nehody pøi jiných preventivních výkonech	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E936	Nehody pøi jiných výkonech 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																								
	Pozdní následky úrazù a jiných vnìjších pøíèin	8	-	-	-	-	-	-	-	2	-	1	-	-	1	-	-	1	1	-	-	-	1	1
E940	Pozdní následky úrazù motorovými vozidly	3	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	1	-	-	-	-	1
E941	Pozdní následky jiných dopravních úrazù	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E942	Pozdní následky náhodných otrav	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E943	Pozdní následky náhodných pádù	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-
E944	Pozdní následky úrazù zpùsobených ohnìm	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E945	Pozdní následky úrazù zpùsobených vlivy pøírodními nebo vlivy životního prostøedí 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E946	Pozdní následky jiných úrazù 	4	-	-	-	-	-	-	-	1	-	1	-	-	1	-	-	-	-	-	-	-	1	-
E947	Pozdní následky chirurgických operací	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E948	Pozdní následky záøení	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E949	Pozdní následky jiných lékaøských výkonù	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																								
SE	Sebevraždy a sebepoškození	1909	-	-	-	-	-	2	21	96	187	147	147	134	153	161	129	171	174	135	106	72	52	22
E950	Otrava pevnou nebo tekutou látkou	61	-	-	-	-	-	-	-	7	9	4	5	6	7	6	6	5	2	2	2	-	-	-
E951	Otrava plynem používaným v domácnosti	355	-	-	-	-	-	1	3	26	41	42	38	30	33	26	19	21	30	13	18	8	6	-
E952	Otrava jiným plynem	3	-	-	-	-	-	-	-	-	-	-	-	1	1	1	-	-	-	-	-	-	-	-
E953	Obìšení nebo uškrcení	1095	-	-	-	-	-	1	17	44	77	76	72	60	82	92	73	113	118	94	66	54	37	19
E954	Utonutí 	54	-	-	-	-	-	-	-	-	1	1	4	2	6	7	4	7	5	4	7	3	2	1
E955	Støelné zbranì a výbušniny	166	-	-	-	-	-	-	1	12	36	14	13	20	12	10	15	10	8	7	6	1	1	-
E956	Øezné a bodné nástroje 	28	-	-	-	-	-	-	-	-	1	2	1	5	4	2	2	3	3	2	-	-	2	1
E957	Skok s výše	72	-	-	-	-	-	-	-	-	8	3	5	5	4	9	3	6	5	10	6	4	3	1
E958	Jiné a NS zpùsoby	71	-	-	-	-	-	-	-	7	13	5	9	5	4	5	7	6	3	3	1	2	1	-
E959	Pozdní následky pokusu o sebevraždu nebo sebepoškození 	4	-	-	-	-	-	-	-	-	1	-	-	-	-	3	-	-	-	-	-	-	-	-
																								
NA	Usmrcení nebo poranìní zpùsobená úmyslnì jinými osobami	70	6	2	-	-	1	1	1	7	10	7	5	8	5	1	3	4	2	4	-	1	1	1
E960	Zápas, rvaèka, znásilnìní	12	-	-	-	-	-	-	-	-	2	2	-	3	-	-	2	1	-	1	-	-	-	1
E961	Žíravé a leptavé látky, mimo otravy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E962	Otravy	2	-	-	-	-	-	1	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E963	Obìšení, uškrcení	6	2	-	-	-	1	-	1	-	-	-	-	1	-	-	-	-	-	1	-	-	-	-
E964	Utopení	3	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E965	Støelné zbranì a výbušniny	11	-	-	-	-	-	-	-	2	4	1	-	2	1	1	-	-	-	-	-	-	-	-
E966	Øezné a bodné nástroje 	20	-	-	-	-	-	-	-	2	1	4	5	2	3	-	1	1	-	-	-	-	1	-
E967	Shození s výše	1	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E968	Jiné a NS zpùsoby	10	2	1	-	-	-	-	-	-	1	-	-	-	1	-	-	1	2	1	-	1	-	-
E969	Pozdní následky poranìní zpùsobeného úmyslnì jinou osobou	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1	-	-	-	-
																								
	Zákonný zákrok	3	-	-	-	-	-	-	-	1	2	-	-	-	-	-	-	-	-	-	-	-	-	-
E970	Støelné zbranì	3	-	-	-	-	-	-	-	1	2	-	-	-	-	-	-	-	-	-	-	-	-	-
E971	Výbušniny	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E972	Plyn	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E973	Tupý pøedmìt	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E974	Øezné a bodné nástroje	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E975	Jiné urèené prostøedky	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E976	Prostøedky NS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E977	Pozdní následky poranìní zpùsobených zákonným zákrokem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E978	Zákonná poprava	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																								
	Poranìní a otravy , o nichž nebylo zjištìno, zda byly náhodnì èi  úmyslnì zpùsobené	82	-	1	-	-	-	-	-	11	11	7	3	6	8	1	1	5	4	8	10	4	1	1
E980	Otrava pevnou nebo tekutou látkou	4	-	-	-	-	-	-	-	-	-	-	-	2	-	-	1	1	-	-	-	-	-	-
E981	Otrava plynem používaným v domácnosti	19	-	-	-	-	-	-	-	-	2	-	1	1	1	-	-	1	2	3	4	2	1	1
E982	Otrava jiným plynem 	1	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-
E983	Obìšení nebo uškrcení	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E984	Utopení	7	-	-	-	-	-	-	-	-	-	1	-	-	1	1	-	-	-	3	-	1	-	-
E985	Støelné zbranì a výbušniny	42	-	-	-	-	-	-	-	10	9	6	1	2	4	-	-	2	1	2	4	1	-	-
E986	Øezné a bodné nástroje	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E987	Pád s výše	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-
E988	Jiné a NS zpùsoby	7	-	1	-	-	-	-	-	1	-	-	1	1	1	-	-	-	-	-	2	-	-	-
E989	Pozdní následky poranìní nezjištìného pùvodu	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-
																								
	Poranìní vzniklá váleènými operacemi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
